timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
1696242749804,-0.67089844,1.5380859,1.8212891,-155.21875,320.28125,-150.6875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,197
1696242749844,-0.9638672,0.41601562,0.0029296875,191.75,-111.28125,86.3125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,198
1696242749884,-0.21191406,0.31152344,-0.12011719,128.78125,-12.1875,105.46875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,199
1696242749924,0.064453125,0.12109375,-0.115234375,50.78125,37.75,100.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,200
1696242749964,-0.19726562,-0.045898438,-0.13769531,-25.90625,-50.125,146.90625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,201
1696242750004,-0.609375,-0.12792969,-0.11035156,67.25,-17.90625,119.4375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,202
1696242750044,-1.9912109,0.18066406,-0.34960938,88.25,87.9375,-24.65625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,203
1696242750084,-0.8730469,0.44335938,-0.16601562,60.09375,-40.25,-67.28125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,204
1696242750124,-1.6923828,0.8222656,-0.8066406,126.625,-28.71875,-86.8125,-102.875,5.125,-114.0625,Thingy,Running,-1,s2091784,,205
1696242750164,-1.3408203,0.53125,-0.78515625,-74.15625,-52.34375,49.5625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,206
1696242750204,-1.2138672,0.076171875,-0.62890625,-68.96875,-156.71875,116.875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,207
1696242750244,-0.8203125,-0.1171875,-0.39160156,162.78125,-89.625,136.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,208
1696242750284,-0.55078125,0.0703125,-0.15234375,184.375,-1.96875,112.96875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,209
1696242750324,-0.5761719,0.001953125,-0.12695312,107.59375,153.15625,59.9375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,210
1696242750364,-0.58496094,-0.087890625,-0.043945312,44.84375,202.53125,78.65625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,211
1696242750404,-0.64453125,-0.23339844,-0.26171875,-1024.0,173.0,-104.0,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,212
1696242750444,-0.65527344,-0.10253906,-0.2763672,298.3125,-123.375,19.71875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,213
1696242750484,-1.9433594,0.20800781,-0.54785156,260.78125,-229.59375,-296.625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,214
1696242750524,-1.9912109,0.6660156,-0.7216797,-216.125,-83.03125,-336.25,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,215
1696242750564,-1.3759766,0.8779297,-0.54589844,-347.59375,193.09375,-272.15625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,216
1696242750604,-0.953125,0.6904297,0.44726562,-42.96875,45.9375,-36.125,-105.125,-7.9375,-107.75,Thingy,Running,-1,s2091784,,217
1696242750644,-0.4169922,0.3720703,-0.1171875,204.9375,-12.0625,78.3125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,218
1696242750684,-0.10058594,0.19433594,-0.10058594,74.375,56.25,78.375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,219
1696242750724,-0.044921875,0.099609375,0.07519531,-132.34375,-26.6875,128.15625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,220
1696242750764,0.08203125,-0.048828125,-0.03515625,-115.96875,-65.53125,114.25,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,221
1696242750804,-1.0048828,0.11425781,-0.14453125,-41.03125,12.53125,27.21875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,222
1696242750844,-1.9912109,0.26367188,-0.7109375,179.4375,81.625,-13.625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,223
1696242750884,-1.1201172,0.48046875,-0.38183594,264.8125,-17.78125,6.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,224
1696242750924,-1.6542969,0.63378906,-0.8486328,79.625,-119.90625,110.96875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,225
1696242750964,-1.1308594,0.095703125,-0.71875,-52.1875,-100.6875,80.3125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,226
1696242751004,-0.92089844,0.10644531,-0.43066406,235.34375,-51.65625,124.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,227
1696242751044,-0.81640625,0.23730469,-0.24902344,151.96875,59.65625,93.4375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,228
1696242751084,-0.77734375,0.03125,-0.18261719,48.3125,165.5625,85.75,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,229
1696242751124,-0.53808594,-0.3203125,-0.11621094,-1015.21875,-36.34375,-63.90625,-96.875,17.4375,-116.0,Thingy,Running,-1,s2091784,,230
1696242751164,-0.33203125,-0.42382812,0.001953125,241.3125,-168.78125,106.1875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,231
