timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
1696249219658,0.03930664,-0.09527588,-0.9990845,-0.578125,-0.890625,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249219702,0.045898438,-0.0960083,-0.99957275,-0.65625,-0.953125,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249219732,0.04272461,-0.10333252,-0.99298096,-0.78125,-1.0,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249219776,0.042236328,-0.10284424,-1.0012817,-0.609375,-1.0,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249219821,0.045166016,-0.10455322,-0.9951782,-0.59375,-0.953125,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249219852,0.049072266,-0.101135254,-1.000061,-0.515625,-0.828125,-0.21875,Respeck,Lying down on stomach,-1,s2091784,
1696249219896,0.049316406,-0.09893799,-0.99664307,-0.625,-0.875,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249219942,0.040527344,-0.10235596,-1.0020142,-0.640625,-0.734375,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249219974,0.053710938,-0.09918213,-0.9937134,-0.65625,-0.796875,-0.296875,Respeck,Lying down on stomach,-1,s2091784,
1696249220018,0.04711914,-0.10357666,-1.0049438,-0.53125,-0.875,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249220062,0.045898438,-0.10333252,-0.99542236,-0.421875,-0.75,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249220092,0.04711914,-0.10748291,-1.0003052,-0.65625,-0.71875,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249220136,0.04638672,-0.10406494,-0.9998169,-0.625,-0.5,0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249220167,0.048583984,-0.105041504,-0.9951782,-0.28125,-0.75,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249220212,0.048095703,-0.10089111,-1.0049438,-0.546875,-0.609375,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249220257,0.047851562,-0.09625244,-0.9907837,-0.359375,-0.375,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249220287,0.04321289,-0.10211182,-1.0029907,-0.5,-0.40625,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249220332,0.047851562,-0.09942627,-0.99102783,-0.328125,-0.34375,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249220378,0.04736328,-0.10870361,-1.0027466,-0.546875,-0.171875,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249220406,0.044433594,-0.101867676,-1.000061,-0.390625,-0.109375,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249220452,0.049316406,-0.09918213,-1.0154419,-0.5,0.265625,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249220497,0.045410156,-0.09820557,-0.99298096,-0.140625,0.6875,-0.25,Respeck,Lying down on stomach,-1,s2091784,
1696249220527,0.045410156,-0.09942627,-0.9837036,0.53125,0.09375,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249220572,0.039794922,-0.10015869,-0.9990845,0.0625,0.09375,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249220617,0.044677734,-0.10015869,-1.0012817,-0.171875,-0.34375,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249220647,0.044677734,-0.097717285,-1.000061,-0.125,-0.21875,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249220695,0.04663086,-0.10040283,-0.9883423,0.109375,-0.140625,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
