timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,subject_id,recording_id
1695301282807,-1.9873047,-1.9882812,1.3447266,28.5625,51.0625,-108.53125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282847,-1.9873047,-0.3359375,2.0751953,135.25,-438.4375,303.3125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282887,1.4423828,1.4921875,-0.38378906,1.40625,49.90625,-50.0,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282927,-1.5087891,0.041992188,-0.7138672,-288.84375,160.375,309.53125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282967,-1.9873047,-1.1777344,-0.6074219,680.53125,275.0,-285.4375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283007,-1.53125,-0.61328125,1.6445312,-21.5,221.46875,71.6875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283047,-0.2607422,0.8339844,1.2470703,-208.25,67.71875,97.75,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283087,-0.18945312,-1.703125,0.7236328,-94.3125,-92.375,-83.59375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283127,-0.62890625,0.52734375,0.56347656,275.6875,-208.5625,-50.125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283167,-1.9873047,-1.0283203,0.20507812,256.8125,-341.5625,-71.5625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283207,-1.9873047,0.0048828125,-0.5595703,15.6875,-351.9375,-72.34375,-65.375,19.375,-48.6875,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283247,-1.5986328,-1.2519531,-0.2783203,-12.875,-225.90625,-133.5,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
